kic,tmass_id,mass
1027110,19250937+3644599,0.985
1027337,19252021+3647118,1.227
1160789,19233280+3652207,0.875
1161447,19241746+3651460,1.460
1161618,19242614+3648478,1.183
1162220,19245791+3653298,1.007
1162746,19252639+3649116,0.941
1163114,19254564+3650475,1.467
1163359,19255838+3650557,1.454
1163621,19261297+3648265,1.876
1294122,19250718+3654252,1.355
1294385,19252149+3654097,1.383
1296068,19264481+3658152,1.026
1296507,19270812+3657217,1.508
1429505,19225688+3702125,1.105
1431059,19243068+3701290,1.155
1431599,19250117+3705112,0.944
1432587,19254985+3701028,0.856
1433593,19264298+3704199,1.610
1433730,19265020+3703054,1.763
1433803,19265417+3702187,1.202
1435573,19282646+3705369,0.789
1569842,19222920+3710285,1.004
1571780,19241413+3711431,2.372
1572175,19243591+3706204,1.535
1572780,19250971+3708188,0.840
1575886,19274289+3709135,2.286
1576043,19275029+3706248,1.109
1576469,19281017+3706444,2.213
1717618,19222314+3712209,1.662
1719297,19240173+3716003,1.093
1719422,19240872+3712254,1.271
1720241,19245928+3714304,1.300
1720425,19251052+3715499,1.066
1723047,19272602+3717271,1.468
1723752,19280136+3717594,1.297
1723843,19280451+3713548,1.429
1725190,19291057+3713306,2.416
1725552,19292749+3717501,1.455
1725732,19293659+3713410,0.928
1726211,19300107+3717340,1.317
1726245,19300260+3715187,1.627
1726291,19300513+3717470,0.972
1864183,19215572+3722208,1.206
1864855,19223280+3720441,1.345
1865262,19225594+3722386,1.150
1865595,19231500+3723566,1.119
1865747,19232346+3722342,1.361
1867706,19251940+3718402,1.589
1868101,19253987+3722022,1.197
1870196,19273132+3720509,1.108
1870433,19274155+3720066,1.390
1871314,19282389+3723239,1.327
1871927,19285600+3723192,1.201
1872166,19290894+3719028,2.085
1872469,19292379+3718156,1.244
1872517,19292584+3718503,0.995
1873510,19301911+3720339,1.180
1995358,19042363+3729046,1.023
1995859,19050006+3728563,1.719
1996078,19051489+3729091,1.211
1996415,19053929+3725383,1.131
2010137,19212984+3725229,1.126
2011145,19223206+3729277,1.045
2011582,19225839+3728552,2.134
2011870,19231654+3728560,1.358
2011891,19231796+3728151,1.214
2013502,19244585+3729385,1.897
2014684,19255509+3726471,0.895
2015820,19265758+3728035,1.797
2016676,19274515+3727100,2.096
2016706,19274667+3727398,1.419
2016978,19275725+3725189,1.178
2017541,19282778+3725510,1.197
2018283,19290899+3726467,1.333
2018392,19291520+3729271,1.323
2018537,19292262+3728081,1.368
2140446,19034433+3734348,1.264
2141255,19045244+3731146,1.141
2141928,19054142+3731262,1.233
2141932,19054160+3732430,1.163
2142095,19055465+3735053,1.153
2155869,19214745+3730572,1.432
2156178,19220462+3731316,0.978
2157059,19225665+3732517,1.038
2157650,19232744+3734298,1.293
2157901,19234174+3735179,1.067
2158410,19241257+3731545,2.865
2159864,19253124+3733144,1.595
2160901,19262385+3732227,1.434
2161409,19264805+3733467,1.411
2161831,19270967+3731187,1.059
2163856,19285446+3733268,2.641
2164262,19291444+3732279,1.285
2164327,19291858+3735195,1.729
2164379,19292074+3734149,1.189
2164874,19294668+3733164,1.402
2165198,19300234+3735387,1.510
2165450,19301649+3735048,2.434
2165615,19302512+3730446,1.682
2166223,19305748+3731444,1.380
2167183,19314645+3732024,0.916
2167774,19321701+3731246,1.471
2282855,19034464+3738547,1.380
2283093,19040604+3739523,2.577
2283721,19045380+3741230,1.049
2284330,19053984+3737500,1.142
2284679,19060736+3740100,0.963
2285827,19074000+3740453,1.210
2285898,19074491+3741456,0.693
2297384,19204557+3739509,1.172
2297785,19210286+3737297,2.125
2297793,19210326+3741190,1.122
2297825,19210483+3741036,1.127
2300329,19232489+3738534,1.100
2300503,19233375+3740096,1.174
2301349,19242206+3738241,1.319
2303101,19255446+3740212,1.080
2303200,19255892+3736237,1.114
2303367,19260880+3740242,1.168
2303414,19261131+3738171,1.317
2304104,19264511+3737317,1.406
2304765,19272308+3741582,1.928
2305145,19274533+3741176,2.333
2305407,19275908+3741282,1.603
2305479,19280288+3741507,1.172
2305590,19280882+3736381,1.035
2305930,19282563+3741232,0.889
2305987,19282828+3741077,1.173
2305992,19282855+3739572,1.237
2306481,19285254+3738311,1.357
2307683,19295606+3740555,1.365
2309469,19312880+3738391,1.136
2309524,19313216+3738361,1.157
2309550,19313386+3740119,1.772
