EPIC,kappa-m-c,tmass_id,sobject_id,gaiadr3_source_id,ra,dec,flag_sp,chi2_sp,model_name,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,vmic,e_vmic,vsini,e_vsini,li_fe,e_li_fe,flag_li_fe,c_fe,e_c_fe,flag_c_fe,n_fe,e_n_fe,flag_n_fe,o_fe,e_o_fe,flag_o_fe,na_fe,e_na_fe,flag_na_fe,mg_fe,e_mg_fe,flag_mg_fe,al_fe,e_al_fe,flag_al_fe,si_fe,e_si_fe,flag_si_fe,k_fe,e_k_fe,flag_k_fe,ca_fe,e_ca_fe,flag_ca_fe,sc_fe,e_sc_fe,flag_sc_fe,ti_fe,e_ti_fe,flag_ti_fe,v_fe,e_v_fe,flag_v_fe,cr_fe,e_cr_fe,flag_cr_fe,mn_fe,e_mn_fe,flag_mn_fe,co_fe,e_co_fe,flag_co_fe,ni_fe,e_ni_fe,flag_ni_fe,cu_fe,e_cu_fe,flag_cu_fe,zn_fe,e_zn_fe,flag_zn_fe,rb_fe,e_rb_fe,flag_rb_fe,sr_fe,e_sr_fe,flag_sr_fe,y_fe,e_y_fe,flag_y_fe,zr_fe,e_zr_fe,flag_zr_fe,mo_fe,e_mo_fe,flag_mo_fe,ru_fe,e_ru_fe,flag_ru_fe,ba_fe,e_ba_fe,flag_ba_fe,la_fe,e_la_fe,flag_la_fe,ce_fe,e_ce_fe,flag_ce_fe,nd_fe,e_nd_fe,flag_nd_fe,sm_fe,e_sm_fe,flag_sm_fe,eu_fe,e_eu_fe,flag_eu_fe,v_bary_eff,red_rv_com,red_e_rv_com,red_teff,red_logg,red_fe_h,red_alpha_fe,red_vmic,red_vbroad,red_flag,sb2_rv_16,sb2_rv_50,sb2_rv_84,ew_h_beta,ew_h_alpha,ew_k_is,sigma_k_is,rv_k_is,ew_dib5780,sigma_dib5780,rv_dib5780,ew_dib5797,sigma_dib5797,rv_dib5797,ew_dib6613,sigma_dib6613,rv_dib6613,mass
205908296,1.163,22323054-1752283,150831004001105,2594341150806513152,338.1272888183594,-17.874500274658203,0,0.94456995,b'4750_2.50_-0.75',4743.9297,5.9755754,2.327207,0.021816893,-0.6030148,0.0056791417,0,1.2804273,0.011679284,3.0948005,0.11111415,-0.54832256,0.019529207,0,0.08599971,0.013042463,0,0.13305363,0.025369737,0,0.33776072,0.026521655,0,0.1502242,0.01796254,0,0.18857485,0.011252752,0,0.5413022,0.030392876,0,0.22079113,0.009772789,0,0.21320222,0.02604335,0,0.19517697,0.011461944,0,0.113839366,0.01139099,0,0.23775285,0.0071215695,0,0.28789037,0.009138579,0,-0.031402726,0.008608072,0,-0.20935073,0.013669428,0,0.11418077,0.011122574,0,0.072595134,0.006360693,0,-0.055391967,0.018589566,0,-0.10558126,0.04299156,0,,,2,,,2,0.17879903,0.032446068,0,0.4827489,0.047392342,0,,,2,,,2,0.5709053,0.027254162,0,0.92251635,0.025118396,0,0.24218652,0.014097209,0,0.5588863,0.012671949,0,0.95412946,0.02386023,0,,,2,-2.706843376159668,-36.96028518676758,0.1144794449210167,4758.31982421875,2.4136078357696533,-0.6222384572029114,0.2053428739309311,1.3336279392242432,6.674400806427002,0,,,,0.01660039,0.02911446,0.007957432,0.5000821,-113.00752,0.06804062,1.3313695,86.484695,-0.006725105,0.09294796,-49.414356,-4.6617753e-08,0.015952235,20.63402,0.8665579242518496
205908296,1.163,22323054-1752283,150831004001105,2594341150806513152,338.1272888183594,-17.874500274658203,0,0.94456995,b'4750_2.50_-0.75',4743.9297,5.9755754,2.327207,0.021816893,-0.6030148,0.0056791417,0,1.2804273,0.011679284,3.0948005,0.11111415,-0.54832256,0.019529207,0,0.08599971,0.013042463,0,0.13305363,0.025369737,0,0.33776072,0.026521655,0,0.1502242,0.01796254,0,0.18857485,0.011252752,0,0.5413022,0.030392876,0,0.22079113,0.009772789,0,0.21320222,0.02604335,0,0.19517697,0.011461944,0,0.113839366,0.01139099,0,0.23775285,0.0071215695,0,0.28789037,0.009138579,0,-0.031402726,0.008608072,0,-0.20935073,0.013669428,0,0.11418077,0.011122574,0,0.072595134,0.006360693,0,-0.055391967,0.018589566,0,-0.10558126,0.04299156,0,,,2,,,2,0.17879903,0.032446068,0,0.4827489,0.047392342,0,,,2,,,2,0.5709053,0.027254162,0,0.92251635,0.025118396,0,0.24218652,0.014097209,0,0.5588863,0.012671949,0,0.95412946,0.02386023,0,,,2,-2.706843376159668,-36.96028518676758,0.1144794449210167,4758.31982421875,2.4136078357696533,-0.6222384572029114,0.2053428739309311,1.3336279392242432,6.674400806427002,0,,,,0.01660039,0.02911446,0.007957432,0.5000821,-113.00752,0.06804062,1.3313695,86.484695,-0.006725105,0.09294796,-49.414356,-4.6617753e-08,0.015952235,20.63402,0.8665579242518496
205909135,1.010,22342407-1750334,150831004001054,2594707253818845440,338.60028076171875,-17.84261131286621,0,0.96312445,b'4750_2.50_-0.25',4836.3975,9.66555,2.5124366,0.03517895,-0.23878537,0.010139711,0,1.6197537,0.017270554,2.790066,0.17034918,-0.9339702,0.034803905,0,0.19214575,0.028267426,0,0.12669516,0.01746828,0,0.31088436,0.08074925,0,0.32191116,0.036147818,0,0.22301713,0.016239801,0,0.40471315,0.025591059,0,0.11068171,0.012307709,0,-0.19393235,0.04528782,0,0.09831004,0.024314824,0,0.19271767,0.018948944,0,0.2433067,0.010979533,0,0.3434006,0.012704646,0,-0.042738277,0.013741649,0,-0.026438355,0.024746252,0,0.25185344,0.0171226,0,0.096265,0.011456703,0,0.27806857,0.03475375,0,0.20743978,0.097240694,0,,,2,,,2,0.2128621,0.060104024,0,-0.16926911,0.065803155,1,,,2,,,2,-0.36898828,0.04859968,0,0.13068713,0.03827163,0,-0.5360955,0.07540959,1,0.18597974,0.031772163,0,0.0850379,0.03882815,0,0.2519535,0.11656399,0,-2.482552051544189,-25.228124618530277,0.1238646879792213,4720.13427734375,2.495501041412353,-0.21541827917099,0.1639861166477203,1.3286641836166382,7.2141547203063965,0,,,,-0.08476859,0.08354055,0.017840264,0.11440539,16.862783,0.09454366,2.1636384,70.217606,0.1799073,7.1057825,200.1242,-0.0059875418,0.14688337,58.79199,0.7746666722991115
205909135,1.010,22342407-1750334,150831004001054,2594707253818845440,338.60028076171875,-17.84261131286621,0,0.96312445,b'4750_2.50_-0.25',4836.3975,9.66555,2.5124366,0.03517895,-0.23878537,0.010139711,0,1.6197537,0.017270554,2.790066,0.17034918,-0.9339702,0.034803905,0,0.19214575,0.028267426,0,0.12669516,0.01746828,0,0.31088436,0.08074925,0,0.32191116,0.036147818,0,0.22301713,0.016239801,0,0.40471315,0.025591059,0,0.11068171,0.012307709,0,-0.19393235,0.04528782,0,0.09831004,0.024314824,0,0.19271767,0.018948944,0,0.2433067,0.010979533,0,0.3434006,0.012704646,0,-0.042738277,0.013741649,0,-0.026438355,0.024746252,0,0.25185344,0.0171226,0,0.096265,0.011456703,0,0.27806857,0.03475375,0,0.20743978,0.097240694,0,,,2,,,2,0.2128621,0.060104024,0,-0.16926911,0.065803155,1,,,2,,,2,-0.36898828,0.04859968,0,0.13068713,0.03827163,0,-0.5360955,0.07540959,1,0.18597974,0.031772163,0,0.0850379,0.03882815,0,0.2519535,0.11656399,0,-2.482552051544189,-25.228124618530277,0.1238646879792213,4720.13427734375,2.495501041412353,-0.21541827917099,0.1639861166477203,1.3286641836166382,7.2141547203063965,0,,,,-0.08476859,0.08354055,0.017840264,0.11440539,16.862783,0.09454366,2.1636384,70.217606,0.1799073,7.1057825,200.1242,-0.0059875418,0.14688337,58.79199,0.7746666722991115
205916760,1.304,22351684-1732427,150831004001022,2594719451525967104,338.8201599121094,-17.54522132873535,0,0.8764236,b'4750_2.50_-0.75',4725.1045,8.48979,2.3100169,0.03059375,-0.6280024,0.008985652,0,1.3872577,0.015699152,4.1074195,0.09898238,-0.5377678,0.039386623,0,0.3240717,0.01912842,0,0.12553725,0.026845416,0,0.66828346,0.03658612,0,0.1783491,0.026284773,0,0.2857891,0.015292467,0,0.6923944,0.040676,0,0.25255165,0.014406347,0,-0.028730547,0.03654298,0,0.23633131,0.016339527,0,0.19772652,0.016435158,0,0.34916285,0.008085907,0,0.33690965,0.012778572,0,0.039809532,0.012753789,0,-0.1947657,0.020491036,0,0.2737313,0.015847325,0,0.05848216,0.009037061,0,-0.098666236,0.026982673,0,0.3900016,0.059417468,0,,,2,,,2,0.03712392,0.045701217,0,0.3518815,0.06775519,0,,,2,,,2,0.10031314,0.041433793,0,0.16077478,0.037437215,0,0.2272447,0.021781426,1,0.06706539,0.029632106,0,0.09867428,0.035424292,0,,,2,-2.325493574142456,-44.91039657592773,0.1231127232313156,4667.62060546875,2.2718186378479004,-0.5646833181381226,0.27057084441185,1.2904601097106934,6.657299995422363,0,,,,0.0005488058,0.031756688,0.012409027,0.21083021,-139.85332,0.023817198,0.28206402,18.47675,0.010785737,0.07403555,-10.269461,0.017821115,0.27324933,-3.465351,0.965840104069186
205916760,1.304,22351684-1732427,150831004001022,2594719451525967104,338.8201599121094,-17.54522132873535,0,0.8764236,b'4750_2.50_-0.75',4725.1045,8.48979,2.3100169,0.03059375,-0.6280024,0.008985652,0,1.3872577,0.015699152,4.1074195,0.09898238,-0.5377678,0.039386623,0,0.3240717,0.01912842,0,0.12553725,0.026845416,0,0.66828346,0.03658612,0,0.1783491,0.026284773,0,0.2857891,0.015292467,0,0.6923944,0.040676,0,0.25255165,0.014406347,0,-0.028730547,0.03654298,0,0.23633131,0.016339527,0,0.19772652,0.016435158,0,0.34916285,0.008085907,0,0.33690965,0.012778572,0,0.039809532,0.012753789,0,-0.1947657,0.020491036,0,0.2737313,0.015847325,0,0.05848216,0.009037061,0,-0.098666236,0.026982673,0,0.3900016,0.059417468,0,,,2,,,2,0.03712392,0.045701217,0,0.3518815,0.06775519,0,,,2,,,2,0.10031314,0.041433793,0,0.16077478,0.037437215,0,0.2272447,0.021781426,1,0.06706539,0.029632106,0,0.09867428,0.035424292,0,,,2,-2.325493574142456,-44.91039657592773,0.1231127232313156,4667.62060546875,2.2718186378479004,-0.5646833181381226,0.27057084441185,1.2904601097106934,6.657299995422363,0,,,,0.0005488058,0.031756688,0.012409027,0.21083021,-139.85332,0.023817198,0.28206402,18.47675,0.010785737,0.07403555,-10.269461,0.017821115,0.27324933,-3.465351,0.965840104069186
205925176,1.285,22344685-1713448,150831004001388,2594766425584002432,338.6952209472656,-17.229084014892578,0,0.8409267,b'5000_3.00_-0.25',4949.0864,9.602446,3.3328543,0.021717656,-0.23761298,0.008020592,0,1.2855957,0.019540207,3.2780237,0.17368819,-0.72190166,0.032594934,0,0.2159367,0.023060491,0,0.22525224,0.023668608,0,0.44463065,0.054878704,0,0.15882982,0.024519617,0,0.19987357,0.014485478,0,0.44936234,0.031313144,0,0.08940276,0.012731982,0,0.092240795,0.0411953,0,0.12326075,0.021811651,0,0.21865138,0.019266762,0,0.29349956,0.01069197,0,0.35214877,0.01252186,0,-0.029392343,0.011523491,0,-0.09884788,0.023666538,0,0.19169134,0.017114691,0,0.05800662,0.012132224,0,0.11934154,0.03253202,0,0.46410987,0.07094069,0,,,2,,,2,-0.18159503,0.054427203,0,-0.023066789,0.0720673,1,,,2,,,2,-0.17480893,0.046190977,0,0.23832732,0.066024624,0,-0.33579007,0.16375852,1,0.102531135,0.049208105,0,0.2637713,0.041365694,0,,,2,-2.3242452144622803,-68.03018951416016,0.1163776665925979,4841.30224609375,3.1493959426879883,-0.2120525538921356,0.1773362606763839,1.1757127046585083,6.959693431854248,0,,,,-0.008531854,0.017000357,0.018729722,0.4890067,-130.85982,0.036074806,1.7943528,15.504263,-0.0040329285,0.016363656,-17.60176,-0.00462003,0.09225989,-24.474451,1.0202373005278895
205925176,1.285,22344685-1713448,150831004001388,2594766425584002432,338.6952209472656,-17.229084014892578,0,0.8409267,b'5000_3.00_-0.25',4949.0864,9.602446,3.3328543,0.021717656,-0.23761298,0.008020592,0,1.2855957,0.019540207,3.2780237,0.17368819,-0.72190166,0.032594934,0,0.2159367,0.023060491,0,0.22525224,0.023668608,0,0.44463065,0.054878704,0,0.15882982,0.024519617,0,0.19987357,0.014485478,0,0.44936234,0.031313144,0,0.08940276,0.012731982,0,0.092240795,0.0411953,0,0.12326075,0.021811651,0,0.21865138,0.019266762,0,0.29349956,0.01069197,0,0.35214877,0.01252186,0,-0.029392343,0.011523491,0,-0.09884788,0.023666538,0,0.19169134,0.017114691,0,0.05800662,0.012132224,0,0.11934154,0.03253202,0,0.46410987,0.07094069,0,,,2,,,2,-0.18159503,0.054427203,0,-0.023066789,0.0720673,1,,,2,,,2,-0.17480893,0.046190977,0,0.23832732,0.066024624,0,-0.33579007,0.16375852,1,0.102531135,0.049208105,0,0.2637713,0.041365694,0,,,2,-2.3242452144622803,-68.03018951416016,0.1163776665925979,4841.30224609375,3.1493959426879883,-0.2120525538921356,0.1773362606763839,1.1757127046585083,6.959693431854248,0,,,,-0.008531854,0.017000357,0.018729722,0.4890067,-130.85982,0.036074806,1.7943528,15.504263,-0.0040329285,0.016363656,-17.60176,-0.00462003,0.09225989,-24.474451,1.0202373005278895
205931007,1.348,22350532-1701056,150831004001371,2594962752833790592,338.7721252441406,-17.01824951171875,0,0.9535824,b'4750_3.00_0.00',4695.585,15.033919,3.0966008,0.050481744,0.19429234,0.018852545,0,1.5774323,0.027757408,0.96741855,0.42459667,-1.5554194,0.08091633,0,-0.029107744,0.046915818,0,0.21814418,0.04936083,0,-0.03934199,0.095372394,0,-0.051262215,0.053789053,0,0.124480635,0.020636449,0,0.40406287,0.0387809,0,0.06416545,0.020358007,0,-0.34301206,0.069667816,0,-0.19243437,0.037382994,0,0.013330469,0.033527516,0,0.098789684,0.017421883,0,0.25058556,0.020892043,0,0.0011673495,0.018683301,0,0.077646255,0.03753171,0,0.19861208,0.022812868,0,0.049075317,0.016802501,0,0.17243052,0.070526496,0,0.26263505,0.15293647,1,,,2,0.3042815,0.15983029,1,0.020197995,0.09027601,0,-0.07297096,0.0928199,1,,,2,-1.4505988,0.24274307,1,0.14426386,0.09201237,0,0.20861956,0.10634317,1,-0.07365035,0.14573492,1,0.14151783,0.040321615,0,0.19154507,0.11362268,1,0.4190028,0.18253668,0,-2.24917221069336,36.410301208496094,0.1445780843496322,4591.80615234375,2.924978733062744,0.0635611861944198,0.107557401061058,1.290797472000122,6.675981521606445,0,,,,-0.03992231,-0.0060333386,-0.010975636,0.10241408,-132.55086,-0.014273823,0.102782995,-63.227234,0.024458144,0.09553418,-12.992591,0.0026357556,0.008794267,13.404372,0.9890880810852715
205931007,1.348,22350532-1701056,150831004001371,2594962752833790592,338.7721252441406,-17.01824951171875,0,0.9535824,b'4750_3.00_0.00',4695.585,15.033919,3.0966008,0.050481744,0.19429234,0.018852545,0,1.5774323,0.027757408,0.96741855,0.42459667,-1.5554194,0.08091633,0,-0.029107744,0.046915818,0,0.21814418,0.04936083,0,-0.03934199,0.095372394,0,-0.051262215,0.053789053,0,0.124480635,0.020636449,0,0.40406287,0.0387809,0,0.06416545,0.020358007,0,-0.34301206,0.069667816,0,-0.19243437,0.037382994,0,0.013330469,0.033527516,0,0.098789684,0.017421883,0,0.25058556,0.020892043,0,0.0011673495,0.018683301,0,0.077646255,0.03753171,0,0.19861208,0.022812868,0,0.049075317,0.016802501,0,0.17243052,0.070526496,0,0.26263505,0.15293647,1,,,2,0.3042815,0.15983029,1,0.020197995,0.09027601,0,-0.07297096,0.0928199,1,,,2,-1.4505988,0.24274307,1,0.14426386,0.09201237,0,0.20861956,0.10634317,1,-0.07365035,0.14573492,1,0.14151783,0.040321615,0,0.19154507,0.11362268,1,0.4190028,0.18253668,0,-2.24917221069336,36.410301208496094,0.1445780843496322,4591.80615234375,2.924978733062744,0.0635611861944198,0.107557401061058,1.290797472000122,6.675981521606445,0,,,,-0.03992231,-0.0060333386,-0.010975636,0.10241408,-132.55086,-0.014273823,0.102782995,-63.227234,0.024458144,0.09553418,-12.992591,0.0026357556,0.008794267,13.404372,0.9890880810852715
